      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-01-04 12:17:07,    100,       2.00,           0,       0.19,       50.00,        0.00,        9.40,     100,       0
2015-01-04 12:17:41,    100,       1.87,           0,       0.18,       53.48,        0.00,        9.60,     100,       0
2015-01-04 12:17:48,    100,       1.76,           0,       0.17,       56.82,        0.00,        9.55,     100,       0
2015-01-04 12:18:01,    100,       1.76,           0,       0.16,       56.82,        0.00,        9.36,     100,       0
2015-01-04 12:18:06,    100,       1.83,           0,       0.17,       54.64,        0.00,        9.17,     100,       0
2015-01-04 12:18:10,    100,       1.61,           0,       0.15,       62.11,        0.00,        9.48,     100,       0
2015-01-04 12:18:13,    100,       1.55,           0,       0.15,       64.52,        0.00,        9.61,     100,       0
2015-01-04 12:18:16,    100,       1.55,           0,       0.15,       64.52,        0.00,        9.36,     100,       0
2015-01-04 12:18:20,    100,       1.59,           0,       0.15,       62.89,        0.00,        9.60,     100,       0
2015-01-04 12:18:25,    100,       1.38,           0,       0.13,       72.46,        0.00,        9.61,     100,       0
2015-01-04 12:18:33,    100,       1.55,           0,       0.15,       64.52,        0.00,        9.75,     100,       0
2015-01-04 12:18:37,    100,       1.52,           0,       0.14,       65.79,        0.00,        9.42,     100,       0
2015-01-04 12:18:41,    100,       1.35,           0,       0.13,       74.07,        0.00,        9.56,     100,       0
2015-01-04 12:18:46,    100,       1.59,           0,       0.15,       62.89,        0.00,        9.60,     100,       0
2015-01-04 12:18:49,    100,       1.47,           0,       0.14,       68.03,        0.00,        9.50,     100,       0
2015-01-04 12:18:54,    100,       1.51,           0,       0.14,       66.23,        0.00,        9.48,     100,       0
2015-01-04 12:18:57,    100,       1.51,           0,       0.14,       66.23,        0.00,        9.44,     100,       0
2015-01-04 12:19:00,    100,       1.49,           0,       0.14,       67.11,        0.00,        9.50,     100,       0
2015-01-04 12:19:03,    100,       1.43,           0,       0.14,       69.93,        0.00,        9.55,     100,       0
2015-01-04 12:19:06,    100,       1.50,           0,       0.15,       66.67,        0.00,        9.68,     100,       0
