      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2016-08-15 21:31:01,    204,      13.11,           0,       0.25,       15.56,        0.00,        3.89,     200,       0
2016-08-15 21:34:52,    204,      14.86,           0,       0.29,       13.73,        0.00,        3.98,     200,       0
2016-08-16 03:22:47,    204,       9.44,           0,       0.18,       21.61,        0.00,        3.87,     200,       0

Frozen string literals + ARJDBC 1.3.21:
2016-08-19 19:12:08,    204,       9.46,           1,       0.18,       21.56,        0.11,        3.97,     200,       0
2016-08-20 12:56:12,    207,   38674.01,           8,      20.77,        0.01,        0.00,        0.11,     207,       0
2016-08-20 13:27:23,   1020,    1792.21,          45,      17.47,        0.57,        0.03,        9.94,    1020,       0
2016-08-20 14:44:39,   1020,    2228.40,          45,      21.79,        0.46,        0.02,        9.98,    1020,       0
2016-08-20 16:05:42,   1020,    2207.35,          45,      21.57,        0.46,        0.02,        9.97,    1020,       0
2016-08-20 17:33:18,   1020,    2260.69,          45,      22.06,        0.45,        0.02,        9.95,    1020,       0
2016-08-20 18:26:02,      0,       0.31,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2016-08-20 19:04:18,   1020,    2191.94,          45,      21.42,        0.47,        0.02,        9.97,    1020,       0
