      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-01-04 12:23:49,    100,       2.07,           1,       0.19,       48.31,        0.48,        9.04,     100,       0
2015-01-04 12:24:35,    100,       2.40,           1,       0.20,       41.67,        0.42,        8.13,     100,       0
2015-01-04 12:24:38,    100,       1.91,           1,       0.18,       52.36,        0.52,        9.30,     100,       0
2015-01-04 12:24:46,    100,       2.14,           1,       0.20,       46.73,        0.47,        9.23,     100,       0
2015-01-04 12:24:51,    100,       1.95,           1,       0.18,       51.28,        0.51,        9.10,     100,       0
2015-01-04 12:24:54,    100,       2.00,           1,       0.18,       50.00,        0.50,        8.77,     100,       0
2015-05-10 04:13:35,    100,       4.59,           1,       0.41,       21.79,        0.22,        8.93,     100,       0
2015-05-10 04:13:56,    100,       2.96,           1,       0.29,       33.78,        0.34,        9.63,     100,       0
2015-05-10 04:14:07,    100,       2.42,           1,       0.23,       41.32,        0.41,        9.64,     100,       0
2015-05-10 04:14:25,    100,       2.42,           1,       0.23,       41.32,        0.41,        9.68,     100,       0
2015-05-10 04:15:23,    100,       2.18,           1,       0.21,       45.87,        0.46,        9.68,     100,       0
2015-05-10 04:15:33,    100,       2.28,           1,       0.21,       43.86,        0.44,        9.32,     100,       0
2015-05-10 04:15:42,    100,       2.58,           1,       0.25,       38.76,        0.39,        9.72,     100,       0
2015-05-10 04:15:51,    100,       2.45,           1,       0.24,       40.82,        0.41,        9.64,     100,       0
2015-05-10 04:16:16,    100,       2.29,           1,       0.22,       43.67,        0.44,        9.54,     100,       0
2015-09-02 22:00:04,    100,       2.56,           1,       0.24,       39.06,        0.39,        9.43,     100,       0
2015-09-02 22:00:53,   1000,      19.43,          16,       0.19,       51.47,        0.82,        9.74,    1000,       0
2015-09-02 22:01:21,   1000,      18.90,          16,       0.19,       52.91,        0.85,        9.80,    1000,       0
2015-09-02 22:01:42,   1000,      19.63,          16,       0.19,       50.94,        0.82,        9.83,    1000,       0
2015-09-02 22:05:35,   1000,      15.50,          16,       0.15,       64.52,        1.03,        9.83,    1000,       0

Rails 4.2.7.1: Via: GET
      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2016-08-13 13:10:17,   1000,      36.13,          16,       0.36,       27.68,        0.44,        9.94,    1000,       0
2016-08-13 13:11:12,   1000,      26.66,          16,       0.26,       37.51,        0.60,        9.90,    1000,       0
2016-08-13 13:11:46,   1000,      28.03,          16,       0.28,       35.68,        0.57,        9.86,    1000,       0
2016-08-13 13:12:14,   1000,      28.25,          16,       0.28,       35.40,        0.57,        9.82,    1000,       0
2016-08-13 13:12:46,   1000,      32.58,          16,       0.32,       30.69,        0.49,        9.83,    1000,       0
2016-08-13 13:13:26,   1000,      39.74,          16,       0.39,       25.16,        0.40,        9.73,    1000,       0
2016-08-13 13:14:11,   1000,      44.78,          16,       0.44,       22.33,        0.36,        9.83,    1000,       0
2016-08-13 13:14:55,   1000,      43.87,          16,       0.43,       22.79,        0.36,        9.86,    1000,       0
2016-08-13 13:15:45,   1000,      49.78,          16,       0.49,       20.09,        0.32,        9.82,    1000,       0
2016-08-13 13:16:43,   1000,      41.36,          16,       0.40,       24.18,        0.39,        9.78,    1000,       0
2016-08-13 13:17:55,   1000,      43.26,          16,       0.42,       23.12,        0.37,        9.69,    1000,       0
2016-08-13 13:19:16,   1000,      26.12,          16,       0.26,       38.28,        0.61,        9.83,    1000,       0
2016-08-13 13:20:02,   1000,      25.50,          16,       0.25,       39.22,        0.63,        9.88,    1000,       0
2016-08-13 13:20:46,   1000,      25.23,          16,       0.25,       39.64,        0.63,        9.91,    1000,       0
2016-08-13 13:21:19,   1000,      27.55,          16,       0.27,       36.30,        0.58,        9.82,    1000,       0

Rubocop: Range#cover? Via: GET
2016-08-13 14:32:41,   1000,      46.85,          16,       0.46,       21.34,        0.34,        9.79,    1000,       0
2016-08-13 14:35:08,   1000,      60.33,          16,       0.59,       16.58,        0.27,        9.71,    1000,       0
2016-08-13 14:37:41,   1000,      75.92,          16,       0.75,       13.17,        0.21,        9.90,    1000,       0
2016-08-13 14:40:24,   1000,      75.78,          16,       0.75,       13.20,        0.21,        9.92,    1000,       0

Rubocop: Range#cover? Via: kubosch
2016-08-13 16:41:47,   1000,      24.05,          16,       0.24,       41.58,        0.67,        9.88,    1000,       0
2016-08-13 16:44:45,   1000,      25.10,          16,       0.25,       39.84,        0.64,        9.88,    1000,       0
2016-08-13 16:46:48,   1000,      31.85,          16,       0.31,       31.40,        0.50,        9.87,    1000,       0
